family,genus,species,sample,institution,voucher,type,inTopoConstraint,num_total,avg_length,SRR
Typhlopidae,Amerotyphlops,Amerotyphlops_reticulatus,CHUNB40084,CHUNB,CHUNB40084,newly collected,TRUE,4926,888,SAMN23818006
Colubridae,Dendrophidion,Dendrophidion_dendrophis,CHUNB40088,CHUNB,CHUNB40088,newly collected,TRUE,5047,1036,SAMN32602574
Colubridae,Dipsas,Dipsas_catesbyi,CHUNB40089,CHUNB,CHUNB40089,newly collected,TRUE,5013,900,SAMN32602576
Colubridae,Drepanoides,Drepanoides_anomalus,CHUNB40090,CHUNB,CHUNB40090,newly collected,TRUE,5043,888,SAMN32602579
Colubridae,Chironius,Chironius_flavolineatus,CHUNB40091,CHUNB,CHUNB40091,newly collected,TRUE,5064,987,SAMN23818077
Colubridae,Leptophis,Leptophis_ahaetulla,CHUNB40092,CHUNB,CHUNB40092,newly collected,TRUE,5041,1045,SAMN32602597
Scincidae,Brasiliscincus,Brasiliscincus_agilis,CHUNB40588,CHUNB,CHUNB40588,newly collected,TRUE,5207,1047,SAMN23818047
Colubridae,Thamnodynastes,Thamnodynastes_rutilus,CHUNB40670,CHUNB,CHUNB40670,newly collected,TRUE,4986,946,SAMN32602636
Gekkonidae,Hemidactylus,Hemidactylus_brasilianus,CHUNB41095,CHUNB,CHUNB41095,newly collected,TRUE,5072,937,SAMN32602719
Typhlopidae,Amerotyphlops,Amerotyphlops_brongersmianus,CHUNB41099,CHUNB,CHUNB41099,newly collected,TRUE,4948,941,SAMN32602880
Colubridae,Erythrolamprus,Erythrolamprus_breviceps,CHUNB41104,CHUNB,CHUNB41104,newly collected,TRUE,4973,868,SAMN09221191
Colubridae,Mussurana,Mussurana_quimi,CHUNB41755,CHUNB,CHUNB41755,newly collected,TRUE,4911,803,SAMN32602605
Colubridae,Spilotes,Spilotes_pullatus,CHUNB44202,CHUNB,CHUNB44202,newly collected,TRUE,4447,516,SAMN23818283
Gekkonidae,Lygodactylus,Lygodactylus_wetzeli,CHUNB44780,CHUNB,CHUNB44780,newly collected,TRUE,5035,696,SAMN09221193
Leptotyphlopidae,Siagonodon,Siagonodon_septemstriatus,CHUNB45354,CHUNB,CHUNB45354,newly collected,TRUE,5031,902,SAMN32602748
Boidae,Corallus,Corallus_hortulana,CHUNB45362,CHUNB,CHUNB45362,newly collected,TRUE,2949,432,SAMN06705322
Colubridae,Helicops,Helicops_trivittatus,CHUNB45364,CHUNB,CHUNB45364,newly collected,TRUE,4978,876,SAMN09221195
Colubridae,Oxyrhopus,Oxyrhopus_guibei,CHUNB45390,CHUNB,CHUNB45390,newly collected,TRUE,5011,933,SAMN23818206
Leptotyphlopidae,Trilepida,Trilepida_dimidiata,CHUNB46211,CHUNB,CHUNB46211,newly collected,TRUE,4957,909,SAMN23818313
Dactyloidae,Anolis,Anolis_punctatus,CHUNB47014,CHUNB,CHUNB47014,newly collected,TRUE,5159,683,SAMN15718123
Colubridae,Philodryas,Philodryas_argentea,CHUNB47072,CHUNB,CHUNB47072,newly collected,TRUE,4142,488,SAMN32602617
Elapidae,Micrurus,Micrurus_hemprichii,CHUNB47077,CHUNB,CHUNB47077,newly collected,TRUE,5004,695,SAMN32602687
Colubridae,Rhinobothryum,Rhinobothryum_lentiginosum,CHUNB47086,CHUNB,CHUNB47086,newly collected,TRUE,487,283,SAMN32602626
Viperidae,Bothrops,Bothrops_itapetiningae,CHUNB49450,CHUNB,CHUNB49450,newly collected,TRUE,5019,924,SAMN32602900
Amphisbaenidae,Leposternon,Leposternon_microcephalum,CHUNB49451,CHUNB,CHUNB49451,newly collected,TRUE,5096,896,SAMN32602535
Colubridae,Simophis,Simophis_rhinostoma,CHUNB50247,CHUNB,CHUNB50247,newly collected,TRUE,5019,910,SAMN09221196
